name_of_institution,Level_of_the_institution,name_of_course,location,mode_of_course,Pre_recorded_session,Course_content,No_of_students,Duration,certification,Placement,course_level,No_of_instructor,Qualification_of_instructor,maintenance,Marketing_cost,Rating_of_course,Instructor_salary,Technology,mentor_for_doubt_clarification,No_of_Mentor_for_doubt_clarification,availability_Mentor_for_doubt_clarification,Price
360DigiTMG,High,Artificial Intelligence,Pune,Both,Yes,4.5,978,60,Yes,No,Advance,1,B,7600,20000,4.5,84k,High,Yes,2,specific time,30000
360DigiTMG,High,Python,Hyderabad,Both,Yes,4.6,1548,184,Yes,No,Beginners,2,A,8796,8472,4.6,48k,High,Yes,1,specific time,56000
Inventateq,Low,Python,Bengaluru,Offline,No,4.3,978,184,Yes,No,Beginners,2,C,5620,5600,4.9,50k,Low,Yes,6,24X7,56000
Jigsaw Academy,High,Data science,Bengaluru,Offline,No,4.8,2k,60,Yes,Yes,Intermediate,1,B,4500,5600,4.9,68k,Medium,Yes,3,24X7,100000
Edvancer,Medium,Java,Hyderabad,Offline,No,4.4,12k,270,Yes,No,Intermediate,1,A,7600,8472,4.3,50k,Medium,No,0,Not available,8000
Edvancer,Medium,Tableau,Mumbai,Both,Yes,4.6,1548,120,Yes,No,Intermediate,2,B,7600,5600,4.9,68k,Medium,Yes,6,24X7,100000
360DigiTMG,High,Data science,Hyderabad,Both,Yes,4.5,978,270,Yes,Yes,Intermediate,4,A,5620,20000,4.9,65k,High,Yes,2,specific time,30000
Inventateq,Low,Data science,Bengaluru,Offline,No,4.3,1548,270,Yes,Yes,Beginners,2,B,8796,5600,4.3,50k,Low,Yes,3,specific time,56000
Edvancer,Medium,Java,Bengaluru,Both,Yes,4.8,2k,60,Yes,No,Intermediate,2,A,5620,2000,4.6,65k,High,No,0,Not available,10000
Inventateq,Low,Python,Bengaluru,Offline,No,4.3,6k,200,No,No,Intermediate,2,B,4500,8472,4.3,50k,Low,Yes,3,specific time,30000
Jigsaw Academy,High,Python,Bengaluru,Offline,No,4.8,1548,120,Yes,No,Beginners,2,B,4500,5600,4.4,65k,Medium,Yes,3,specific time,56000
